Date,State,DailyCases,Deaths,Recovered,Vaccinated,Population,Vax_pct
2021-02-12,Telangana,5265,103,4293,1193171,32606740,3.66
2021-02-13,Telangana,5077,99,4140,1213581,32606740,3.72
2021-02-14,Telangana,5534,108,4512,1214617,32606740,3.73
2021-02-15,Telangana,5571,109,4542,1231869,32606740,3.78
2021-02-16,Telangana,6321,123,5154,1254918,32606740,3.85
2021-02-17,Telangana,6127,120,4996,1284914,32606740,3.94
2021-02-18,Telangana,6644,130,5417,1316995,32606740,4.04
2021-02-19,Telangana,7195,140,5866,1338268,32606740,4.1
2021-02-20,Telangana,7649,149,6237,1345427,32606740,4.13
2021-02-21,Telangana,7444,145,6070,1367477,32606740,4.19
2021-02-22,Telangana,8285,162,6755,1367642,32606740,4.19
2021-02-23,Telangana,8145,159,6641,1392941,32606740,4.27
2021-02-24,Telangana,8188,160,6676,1415200,32606740,4.34
2021-02-25,Telangana,9014,176,7350,1433008,32606740,4.39
2021-02-26,Telangana,9907,193,8078,1466100,32606740,4.5
2021-02-27,Telangana,10085,197,8223,1503827,32606740,4.61
2021-02-28,Telangana,10372,202,8457,1517019,32606740,4.65
2021-03-01,Telangana,11006,215,8974,1542193,32606740,4.73
2021-03-02,Telangana,11465,224,9348,1567679,32606740,4.81
2021-03-03,Telangana,12127,237,9888,1593139,32606740,4.89
2021-03-04,Telangana,11952,233,9745,1613303,32606740,4.95
2021-03-05,Telangana,12913,252,10529,1623795,32606740,4.98
2021-03-06,Telangana,13501,263,11008,1632368,32606740,5.01
2021-03-07,Telangana,13586,265,11077,1633909,32606740,5.01
2021-03-08,Telangana,14126,276,11518,1636516,32606740,5.02
2021-03-09,Telangana,14987,292,12220,1676979,32606740,5.14
2021-03-10,Telangana,15667,306,12774,1680478,32606740,5.15
2021-03-11,Telangana,16248,317,13248,1723252,32606740,5.28
2021-03-12,Telangana,16668,325,13590,1768077,32606740,5.42
2021-03-13,Telangana,17257,337,14071,1780139,32606740,5.46
2021-03-14,Telangana,17930,350,14619,1802287,32606740,5.53
2021-03-15,Telangana,18760,366,15296,1820288,32606740,5.58
2021-03-16,Telangana,19676,384,16043,1839980,32606740,5.64
2021-03-17,Telangana,19278,376,15718,1857880,32606740,5.7
2021-03-18,Telangana,20781,405,16944,1875001,32606740,5.75
2021-03-19,Telangana,21219,414,17301,1909211,32606740,5.86
2021-03-20,Telangana,22076,431,18000,1929844,32606740,5.92
2021-03-21,Telangana,22948,448,18711,1939205,32606740,5.95
2021-03-22,Telangana,23046,450,18791,1958146,32606740,6.01
2021-03-23,Telangana,24242,473,19766,2007081,32606740,6.16
2021-03-24,Telangana,24274,474,19792,2056471,32606740,6.31
2021-03-25,Telangana,25385,495,20698,2059564,32606740,6.32
2021-03-26,Telangana,25975,507,21179,2088353,32606740,6.4
2021-03-27,Telangana,26765,522,21823,2137041,32606740,6.55
2021-03-28,Telangana,27162,530,22147,2146735,32606740,6.58
2021-03-29,Telangana,28298,552,23073,2150174,32606740,6.59
2021-03-30,Telangana,29353,573,23933,2160773,32606740,6.63
2021-03-31,Telangana,29296,572,23887,2176648,32606740,6.68
2021-04-01,Telangana,30355,592,24750,2223381,32606740,6.82
2021-04-02,Telangana,31263,610,25490,2235915,32606740,6.86
2021-04-03,Telangana,31625,617,25786,2252514,32606740,6.91
2021-04-04,Telangana,32826,640,26765,2265495,32606740,6.95
2021-04-05,Telangana,32989,644,26898,2285072,32606740,7.01
2021-04-06,Telangana,33780,659,27543,2334805,32606740,7.16
2021-04-07,Telangana,34207,667,27891,2338995,32606740,7.17
2021-04-08,Telangana,35228,687,28723,2361912,32606740,7.24
2021-04-09,Telangana,35869,700,29246,2392607,32606740,7.34
2021-04-10,Telangana,36729,717,29947,2398582,32606740,7.36
2021-04-11,Telangana,37008,722,30175,2400803,32606740,7.36
2021-04-12,Telangana,37647,735,30696,2449916,32606740,7.51
2021-04-13,Telangana,38632,754,31499,2463375,32606740,7.55
2021-04-14,Telangana,39543,772,32242,2475508,32606740,7.59
2021-04-15,Telangana,39932,779,32559,2492940,32606740,7.65
2021-04-16,Telangana,40904,798,33351,2496567,32606740,7.66
2021-04-17,Telangana,41110,802,33519,2503914,32606740,7.68
2021-04-18,Telangana,41678,813,33982,2505123,32606740,7.68
2021-04-19,Telangana,42291,825,34482,2531865,32606740,7.76
2021-04-20,Telangana,43084,841,35129,2555026,32606740,7.84
2021-04-21,Telangana,43542,850,35502,2568729,32606740,7.88
2021-04-22,Telangana,43363,846,35356,2614645,32606740,8.02
2021-04-23,Telangana,44429,867,36225,2629908,32606740,8.07
2021-04-24,Telangana,44751,873,36488,2630756,32606740,8.07
2021-04-25,Telangana,45079,880,36755,2635739,32606740,8.08
2021-04-26,Telangana,45052,879,36733,2671997,32606740,8.19
2021-04-27,Telangana,45549,889,37139,2698659,32606740,8.28
2021-04-28,Telangana,46311,904,37760,2711680,32606740,8.32
2021-04-29,Telangana,46370,905,37808,2724051,32606740,8.35
2021-04-30,Telangana,47076,919,38384,2735004,32606740,8.39
2021-05-01,Telangana,47743,932,38928,2756097,32606740,8.45
2021-05-02,Telangana,47684,930,38879,2791286,32606740,8.56
2021-05-03,Telangana,48193,940,39294,2823191,32606740,8.66
2021-05-04,Telangana,48137,939,39249,2860584,32606740,8.77
2021-05-05,Telangana,48816,952,39802,2862646,32606740,8.78
2021-05-06,Telangana,49128,959,40057,2890596,32606740,8.87
2021-05-07,Telangana,48778,952,39771,2928818,32606740,8.98
2021-05-08,Telangana,49189,960,40107,2938930,32606740,9.01
2021-05-09,Telangana,49223,960,40134,2968069,32606740,9.1
2021-05-10,Telangana,49926,974,40707,2968384,32606740,9.1
2021-05-11,Telangana,49973,975,40746,3013876,32606740,9.24
2021-05-12,Telangana,50041,976,40801,3050739,32606740,9.36
2021-05-13,Telangana,50131,978,40875,3081889,32606740,9.45
2021-05-14,Telangana,50362,983,41063,3111869,32606740,9.54
2021-05-15,Telangana,50446,984,41131,3145367,32606740,9.65
2021-05-16,Telangana,50255,981,40976,3166494,32606740,9.71
2021-05-17,Telangana,50258,981,40978,3214838,32606740,9.86
2021-05-18,Telangana,50459,985,41142,3225517,32606740,9.89
2021-05-19,Telangana,50433,984,41121,3266046,32606740,10.02
2021-05-20,Telangana,51107,997,41670,3304142,32606740,10.13
2021-05-21,Telangana,50359,983,41061,3346020,32606740,10.26
2021-05-22,Telangana,50533,986,41202,3349564,32606740,10.27
2021-05-23,Telangana,50546,986,41213,3371820,32606740,10.34
2021-05-24,Telangana,50774,991,41399,3403955,32606740,10.44
2021-05-25,Telangana,50048,977,40807,3434900,32606740,10.53
2021-05-26,Telangana,50621,988,41274,3469319,32606740,10.64
2021-05-27,Telangana,50094,977,40844,3501032,32606740,10.74
2021-05-28,Telangana,50799,991,41419,3512194,32606740,10.77
2021-05-29,Telangana,50061,977,40818,3553589,32606740,10.9
2021-05-30,Telangana,49481,965,40345,3577755,32606740,10.97
2021-05-31,Telangana,49682,969,40509,3626289,32606740,11.12
2021-06-01,Telangana,50029,976,40791,3652298,32606740,11.2
2021-06-02,Telangana,49537,967,40390,3679173,32606740,11.28
2021-06-03,Telangana,49376,963,40259,3708737,32606740,11.37
2021-06-04,Telangana,49489,966,40351,3752291,32606740,11.51
2021-06-05,Telangana,49049,957,39992,3797350,32606740,11.65
2021-06-06,Telangana,48968,955,39926,3826585,32606740,11.74
2021-06-07,Telangana,48628,949,39649,3853905,32606740,11.82
2021-06-08,Telangana,49312,962,40207,3856629,32606740,11.83
2021-06-09,Telangana,48311,943,39391,3859994,32606740,11.84
2021-06-10,Telangana,48616,949,39639,3896819,32606740,11.95
2021-06-11,Telangana,48602,948,39628,3914067,32606740,12.0
2021-06-12,Telangana,48352,943,39424,3935902,32606740,12.07
2021-06-13,Telangana,47883,934,39042,3967318,32606740,12.17
2021-06-14,Telangana,47870,934,39031,3978410,32606740,12.2
2021-06-15,Telangana,48244,941,39336,3995067,32606740,12.25
2021-06-16,Telangana,47778,932,38956,3997213,32606740,12.26
2021-06-17,Telangana,47325,923,38587,4035610,32606740,12.38
2021-06-18,Telangana,48006,937,39142,4061035,32606740,12.45
2021-06-19,Telangana,47581,928,38795,4070530,32606740,12.48
2021-06-20,Telangana,47995,936,39133,4100334,32606740,12.58
2021-06-21,Telangana,47719,931,38908,4107484,32606740,12.6
2021-06-22,Telangana,47690,931,38884,4146518,32606740,12.72
2021-06-23,Telangana,47777,932,38955,4158069,32606740,12.75
2021-06-24,Telangana,47428,925,38671,4171585,32606740,12.79
2021-06-25,Telangana,47542,928,38764,4215389,32606740,12.93
2021-06-26,Telangana,47745,932,38929,4252539,32606740,13.04
2021-06-27,Telangana,47525,927,38750,4286585,32606740,13.15
2021-06-28,Telangana,48140,939,39251,4316677,32606740,13.24
2021-06-29,Telangana,47904,935,39059,4342679,32606740,13.32
2021-06-30,Telangana,47645,930,38848,4352279,32606740,13.35
2021-07-01,Telangana,48008,937,39144,4367295,32606740,13.39
2021-07-02,Telangana,48315,943,39394,4415428,32606740,13.54
2021-07-03,Telangana,48272,942,39359,4461357,32606740,13.68
2021-07-04,Telangana,48660,949,39675,4497676,32606740,13.79
2021-07-05,Telangana,48858,953,39837,4542114,32606740,13.93
2021-07-06,Telangana,49565,967,40413,4582322,32606740,14.05
2021-07-07,Telangana,49360,963,40246,4602292,32606740,14.11
2021-07-08,Telangana,48705,950,39712,4638067,32606740,14.22
2021-07-09,Telangana,49281,962,40182,4675703,32606740,14.34
2021-07-10,Telangana,49512,966,40370,4682620,32606740,14.36
2021-07-11,Telangana,49978,975,40750,4728298,32606740,14.5
2021-07-12,Telangana,49749,971,40563,4752949,32606740,14.58
2021-07-13,Telangana,50103,978,40852,4768616,32606740,14.62
2021-07-14,Telangana,50130,978,40874,4792321,32606740,14.7
2021-07-15,Telangana,50572,987,41234,4808756,32606740,14.75
2021-07-16,Telangana,50840,992,41453,4825381,32606740,14.8
2021-07-17,Telangana,51180,999,41730,4852671,32606740,14.88
2021-07-18,Telangana,51188,999,41736,4902552,32606740,15.04
2021-07-19,Telangana,52115,1017,42492,4922970,32606740,15.1
2021-07-20,Telangana,52242,1019,42596,4933704,32606740,15.13
2021-07-21,Telangana,51951,1014,42359,4971777,32606740,15.25
2021-07-22,Telangana,52682,1028,42955,4986525,32606740,15.29
2021-07-23,Telangana,52495,1024,42802,5013371,32606740,15.38
2021-07-24,Telangana,53660,1047,43752,5026045,32606740,15.41
2021-07-25,Telangana,54035,1054,44058,5036637,32606740,15.45
2021-07-26,Telangana,53828,1050,43889,5049236,32606740,15.49
2021-07-27,Telangana,53882,1051,43933,5067055,32606740,15.54
2021-07-28,Telangana,54231,1058,44218,5114832,32606740,15.69
2021-07-29,Telangana,54584,1065,44505,5148393,32606740,15.79
2021-07-30,Telangana,54975,1073,44824,5183177,32606740,15.9
2021-07-31,Telangana,55701,1087,45416,5185848,32606740,15.9
2021-08-01,Telangana,55855,1090,45542,5186392,32606740,15.91
2021-08-02,Telangana,56133,1095,45768,5203500,32606740,15.96
2021-08-03,Telangana,56160,1096,45790,5247881,32606740,16.09
2021-08-04,Telangana,56022,1093,45678,5248685,32606740,16.1
2021-08-05,Telangana,56389,1100,45977,5286991,32606740,16.21
2021-08-06,Telangana,56882,1110,46379,5328034,32606740,16.34
2021-08-07,Telangana,56738,1107,46262,5341928,32606740,16.38
2021-08-08,Telangana,57413,1120,46812,5347787,32606740,16.4
2021-08-09,Telangana,57777,1127,47109,5355460,32606740,16.42
2021-08-10,Telangana,57901,1130,47210,5359320,32606740,16.44
2021-08-11,Telangana,58079,1133,47355,5401501,32606740,16.57
2021-08-12,Telangana,57545,1123,46920,5440830,32606740,16.69
2021-08-13,Telangana,58668,1145,47835,5474467,32606740,16.79
2021-08-14,Telangana,57948,1131,47248,5478942,32606740,16.8
2021-08-15,Telangana,58507,1142,47704,5526450,32606740,16.95
2021-08-16,Telangana,58858,1148,47990,5560663,32606740,17.05
2021-08-17,Telangana,58884,1149,48011,5602062,32606740,17.18
2021-08-18,Telangana,58481,1141,47683,5621055,32606740,17.24
2021-08-19,Telangana,58606,1143,47785,5630942,32606740,17.27
2021-08-20,Telangana,59076,1153,48168,5672026,32606740,17.4
2021-08-21,Telangana,59180,1155,48253,5674595,32606740,17.4
2021-08-22,Telangana,58714,1146,47873,5683737,32606740,17.43
2021-08-23,Telangana,59164,1154,48240,5691420,32606740,17.45
2021-08-24,Telangana,58574,1143,47759,5695640,32606740,17.47
2021-08-25,Telangana,59179,1155,48252,5723198,32606740,17.55
2021-08-26,Telangana,58671,1145,47838,5734618,32606740,17.59
2021-08-27,Telangana,58885,1149,48012,5782923,32606740,17.74
2021-08-28,Telangana,58740,1146,47894,5829529,32606740,17.88
2021-08-29,Telangana,59001,1151,48107,5837950,32606740,17.9
2021-08-30,Telangana,58592,1143,47773,5879406,32606740,18.03
2021-08-31,Telangana,58186,1135,47442,5881360,32606740,18.04
2021-09-01,Telangana,58300,1138,47535,5895649,32606740,18.08
2021-09-02,Telangana,58642,1144,47814,5928642,32606740,18.18
2021-09-03,Telangana,58009,1132,47298,5938947,32606740,18.21
2021-09-04,Telangana,57536,1123,46912,5942847,32606740,18.23
2021-09-05,Telangana,57052,1113,46518,5950689,32606740,18.25
2021-09-06,Telangana,56845,1109,46349,5983620,32606740,18.35
2021-09-07,Telangana,56943,1111,46429,5994680,32606740,18.38
2021-09-08,Telangana,56164,1096,45794,6006977,32606740,18.42
2021-09-09,Telangana,56101,1095,45742,6017229,32606740,18.45
2021-09-10,Telangana,56184,1096,45810,6061321,32606740,18.59
2021-09-11,Telangana,55431,1082,45196,6105730,32606740,18.73
2021-09-12,Telangana,54678,1067,44582,6145977,32606740,18.85
2021-09-13,Telangana,55253,1078,45051,6146976,32606740,18.85
2021-09-14,Telangana,54709,1067,44607,6159502,32606740,18.89
2021-09-15,Telangana,53893,1052,43942,6203508,32606740,19.03
2021-09-16,Telangana,53672,1047,43762,6231207,32606740,19.11
2021-09-17,Telangana,52739,1029,43001,6233278,32606740,19.12
2021-09-18,Telangana,52551,1025,42848,6245732,32606740,19.15
2021-09-19,Telangana,51705,1009,42158,6287073,32606740,19.28
2021-09-20,Telangana,50910,993,41510,6331022,32606740,19.42
2021-09-21,Telangana,51563,1006,42042,6352309,32606740,19.48
2021-09-22,Telangana,49819,972,40620,6359888,32606740,19.5
2021-09-23,Telangana,49773,971,40583,6363748,32606740,19.52
2021-09-24,Telangana,49198,960,40114,6375014,32606740,19.55
2021-09-25,Telangana,48684,950,39695,6414964,32606740,19.67
2021-09-26,Telangana,47908,935,39062,6456293,32606740,19.8
2021-09-27,Telangana,47305,923,38570,6469114,32606740,19.84
2021-09-28,Telangana,46753,912,38120,6517980,32606740,19.99
2021-09-29,Telangana,46229,902,37693,6561881,32606740,20.12
2021-09-30,Telangana,45448,887,37056,6611256,32606740,20.28
2021-10-01,Telangana,44783,874,36514,6648868,32606740,20.39
2021-10-02,Telangana,43754,854,35675,6677517,32606740,20.48
2021-10-03,Telangana,44094,860,35952,6726605,32606740,20.63
2021-10-04,Telangana,42983,839,35046,6761040,32606740,20.74
2021-10-05,Telangana,42211,824,34417,6802633,32606740,20.86
2021-10-06,Telangana,41281,805,33659,6822775,32606740,20.92
2021-10-07,Telangana,40482,790,33007,6834823,32606740,20.96
2021-10-08,Telangana,40351,787,32900,6863496,32606740,21.05
2021-10-09,Telangana,39352,768,32086,6883956,32606740,21.11
2021-10-10,Telangana,38889,759,31708,6901509,32606740,21.17
2021-10-11,Telangana,37598,734,30656,6936340,32606740,21.27
2021-10-12,Telangana,37765,737,30792,6966874,32606740,21.37
2021-10-13,Telangana,36868,719,30061,6982677,32606740,21.41
2021-10-14,Telangana,35869,700,29246,6994756,32606740,21.45
2021-10-15,Telangana,35329,689,28806,7022081,32606740,21.54
2021-10-16,Telangana,34706,677,28298,7038439,32606740,21.59
2021-10-17,Telangana,33379,651,27216,7050321,32606740,21.62
2021-10-18,Telangana,33580,655,27380,7061426,32606740,21.66
2021-10-19,Telangana,32521,635,26516,7094573,32606740,21.76
2021-10-20,Telangana,31466,614,25656,7115338,32606740,21.82
2021-10-21,Telangana,30652,598,24992,7132444,32606740,21.87
2021-10-22,Telangana,30584,597,24937,7138203,32606740,21.89
2021-10-23,Telangana,29662,579,24185,7140961,32606740,21.9
2021-10-24,Telangana,29059,567,23693,7175706,32606740,22.01
2021-10-25,Telangana,28242,551,23027,7224094,32606740,22.16
2021-10-26,Telangana,27257,532,22224,7240331,32606740,22.21
2021-10-27,Telangana,27041,528,22048,7282526,32606740,22.33
2021-10-28,Telangana,26165,511,21334,7312602,32606740,22.43
2021-10-29,Telangana,25560,499,20841,7327787,32606740,22.47
2021-10-30,Telangana,25628,500,20896,7356125,32606740,22.56
2021-10-31,Telangana,24531,479,20002,7362606,32606740,22.58
2021-11-01,Telangana,23911,467,19496,7379493,32606740,22.63
2021-11-02,Telangana,23819,465,19421,7416254,32606740,22.74
2021-11-03,Telangana,22497,439,18343,7458812,32606740,22.88
2021-11-04,Telangana,21803,425,17777,7469845,32606740,22.91
2021-11-05,Telangana,20958,409,17088,7515382,32606740,23.05
2021-11-06,Telangana,20430,399,16658,7545654,32606740,23.14
2021-11-07,Telangana,19363,378,15788,7557117,32606740,23.18
2021-11-08,Telangana,19636,383,16010,7596070,32606740,23.3
2021-11-09,Telangana,18449,360,15043,7640121,32606740,23.43
2021-11-10,Telangana,18539,362,15116,7653742,32606740,23.47
2021-11-11,Telangana,17705,345,14436,7659029,32606740,23.49
2021-11-12,Telangana,17216,336,14037,7673260,32606740,23.53
2021-11-13,Telangana,16633,325,13562,7711087,32606740,23.65
2021-11-14,Telangana,16541,323,13487,7714167,32606740,23.66
2021-11-15,Telangana,15977,312,13027,7728625,32606740,23.7
2021-11-16,Telangana,15105,295,12316,7744617,32606740,23.75
2021-11-17,Telangana,14353,280,11703,7745451,32606740,23.75
2021-11-18,Telangana,14419,281,11757,7775323,32606740,23.85
2021-11-19,Telangana,13380,261,10909,7815624,32606740,23.97
2021-11-20,Telangana,12746,249,10393,7823413,32606740,23.99
2021-11-21,Telangana,12913,252,10529,7867743,32606740,24.13
2021-11-22,Telangana,12690,248,10347,7915397,32606740,24.28
2021-11-23,Telangana,11774,230,9600,7958930,32606740,24.41
2021-11-24,Telangana,11598,226,9457,7995050,32606740,24.52
2021-11-25,Telangana,10944,214,8923,8017452,32606740,24.59
2021-11-26,Telangana,10888,212,8878,8027647,32606740,24.62
2021-11-27,Telangana,10612,207,8653,8073296,32606740,24.76
2021-11-28,Telangana,9827,192,8013,8099826,32606740,24.84
2021-11-29,Telangana,9230,180,7526,8122426,32606740,24.91
2021-11-30,Telangana,8744,171,7129,8141998,32606740,24.97
2021-12-01,Telangana,9111,178,7429,8152908,32606740,25.0
2021-12-02,Telangana,8155,159,6649,8172025,32606740,25.06
2021-12-03,Telangana,8279,162,6750,8211936,32606740,25.18
2021-12-04,Telangana,8082,158,6590,8239935,32606740,25.27
2021-12-05,Telangana,7389,144,6025,8259711,32606740,25.33
2021-12-06,Telangana,7190,140,5862,8265118,32606740,25.35
2021-12-07,Telangana,7248,141,5910,8285865,32606740,25.41
2021-12-08,Telangana,6424,125,5238,8296630,32606740,25.44
2021-12-09,Telangana,6121,119,4991,8316515,32606740,25.51
2021-12-10,Telangana,6059,118,4940,8323999,32606740,25.53
2021-12-11,Telangana,6257,122,5102,8371388,32606740,25.67
2021-12-12,Telangana,6110,119,4982,8380086,32606740,25.7
2021-12-13,Telangana,5358,105,4369,8386293,32606740,25.72
2021-12-14,Telangana,4943,96,4030,8419053,32606740,25.82
2021-12-15,Telangana,5253,102,4283,8436242,32606740,25.87
2021-12-16,Telangana,4218,82,3439,8486050,32606740,26.03
2021-12-17,Telangana,4585,89,3738,8506254,32606740,26.09
2021-12-18,Telangana,4298,84,3504,8538809,32606740,26.19
2021-12-19,Telangana,4506,88,3674,8580516,32606740,26.32
2021-12-20,Telangana,4350,85,3547,8629752,32606740,26.47
2021-12-21,Telangana,3470,68,2829,8670232,32606740,26.59
2021-12-22,Telangana,3631,71,2961,8699082,32606740,26.68
2021-12-23,Telangana,3244,63,2645,8739802,32606740,26.8
2021-12-24,Telangana,3167,62,2582,8753967,32606740,26.85
2021-12-25,Telangana,3288,64,2681,8797475,32606740,26.98
2021-12-26,Telangana,2855,56,2328,8841090,32606740,27.11
2021-12-27,Telangana,2872,56,2342,8860282,32606740,27.17
2021-12-28,Telangana,2965,58,2418,8863641,32606740,27.18
2021-12-29,Telangana,3003,59,2449,8897873,32606740,27.29
2021-12-30,Telangana,2510,49,2047,8902994,32606740,27.3
2021-12-31,Telangana,2339,46,1907,8903864,32606740,27.31
2022-01-01,Telangana,1857,36,1514,8951245,32606740,27.45
2022-01-02,Telangana,2555,50,2083,8979626,32606740,27.54
2022-01-03,Telangana,2123,41,1731,9012135,32606740,27.64
2022-01-04,Telangana,1915,37,1561,9056159,32606740,27.77
2022-01-05,Telangana,1804,35,1471,9102607,32606740,27.92
2022-01-06,Telangana,1795,35,1464,9150432,32606740,28.06
2022-01-07,Telangana,1830,36,1492,9157076,32606740,28.08
2022-01-08,Telangana,1784,35,1455,9173272,32606740,28.13
2022-01-09,Telangana,1918,37,1564,9211685,32606740,28.25
2022-01-10,Telangana,1432,28,1168,9213124,32606740,28.26
2022-01-11,Telangana,1812,35,1477,9224864,32606740,28.29
2022-01-12,Telangana,1534,30,1251,9250603,32606740,28.37
2022-01-13,Telangana,1133,22,924,9267770,32606740,28.42
2022-01-14,Telangana,588,11,479,9276409,32606740,28.45
2022-01-15,Telangana,1054,21,859,9321358,32606740,28.59
2022-01-16,Telangana,1439,28,1173,9343754,32606740,28.66
2022-01-17,Telangana,684,13,558,9364316,32606740,28.72
2022-01-18,Telangana,890,17,726,9397188,32606740,28.82
2022-01-19,Telangana,866,17,706,9430714,32606740,28.92
2022-01-20,Telangana,1053,21,859,9455346,32606740,29.0
2022-01-21,Telangana,609,12,497,9499709,32606740,29.13
2022-01-22,Telangana,423,8,345,9514508,32606740,29.18
2022-01-23,Telangana,815,16,665,9558051,32606740,29.31
2022-01-24,Telangana,384,7,313,9601466,32606740,29.45
2022-01-25,Telangana,20,0,16,9601911,32606740,29.45
2022-01-26,Telangana,1089,21,888,9639646,32606740,29.56
2022-01-27,Telangana,783,15,638,9647556,32606740,29.59
2022-01-28,Telangana,1040,20,848,9671835,32606740,29.66
2022-01-29,Telangana,708,14,577,9717766,32606740,29.8
2022-01-30,Telangana,623,12,508,9727543,32606740,29.83
2022-01-31,Telangana,504,10,411,9755663,32606740,29.92
2022-02-01,Telangana,314,6,256,9794546,32606740,30.04
2022-02-02,Telangana,500,10,408,9818555,32606740,30.11
2022-02-03,Telangana,159,3,130,9822462,32606740,30.12
2022-02-04,Telangana,0,0,0,9825724,32606740,30.13
2022-02-05,Telangana,186,4,152,9851617,32606740,30.21
2022-02-06,Telangana,655,13,534,9852869,32606740,30.22
2022-02-07,Telangana,0,0,0,9853642,32606740,30.22
2022-02-08,Telangana,0,0,0,9901312,32606740,30.37
2022-02-09,Telangana,397,8,324,9927958,32606740,30.45
2022-02-10,Telangana,81,2,66,9951650,32606740,30.52
2022-02-11,Telangana,337,7,275,9956669,32606740,30.54
2022-02-12,Telangana,476,9,388,9995989,32606740,30.66
2022-02-13,Telangana,306,6,249,10021510,32606740,30.73
2022-02-14,Telangana,0,0,0,10032510,32606740,30.77
2022-02-15,Telangana,531,10,433,10070154,32606740,30.88
2022-02-16,Telangana,359,7,293,10082007,32606740,30.92
2022-02-17,Telangana,135,3,110,10107162,32606740,31.0
2022-02-18,Telangana,112,2,91,10135174,32606740,31.08
2022-02-19,Telangana,222,4,181,10149124,32606740,31.13
2022-02-20,Telangana,9,0,7,10192925,32606740,31.26
2022-02-21,Telangana,0,0,0,10228101,32606740,31.37
2022-02-22,Telangana,314,6,256,10242529,32606740,31.41
2022-02-23,Telangana,290,6,236,10250358,32606740,31.44
2022-02-24,Telangana,0,0,0,10266797,32606740,31.49
2022-02-25,Telangana,225,4,183,10290065,32606740,31.56
2022-02-26,Telangana,593,12,484,10317596,32606740,31.64
2022-02-27,Telangana,0,0,0,10337604,32606740,31.7
2022-02-28,Telangana,35,1,29,10339604,32606740,31.71
2022-03-01,Telangana,0,0,0,10373411,32606740,31.81
2022-03-02,Telangana,547,11,446,10392349,32606740,31.87
2022-03-03,Telangana,382,7,311,10409122,32606740,31.92
2022-03-04,Telangana,0,0,0,10436936,32606740,32.01
2022-03-05,Telangana,142,3,116,10478698,32606740,32.14
2022-03-06,Telangana,727,14,593,10478939,32606740,32.14
2022-03-07,Telangana,0,0,0,10526977,32606740,32.28
2022-03-08,Telangana,28,1,23,10558877,32606740,32.38
2022-03-09,Telangana,183,4,149,10586216,32606740,32.47
2022-03-10,Telangana,0,0,0,10588764,32606740,32.47
2022-03-11,Telangana,554,11,452,10624325,32606740,32.58
2022-03-12,Telangana,0,0,0,10660322,32606740,32.69
2022-03-13,Telangana,0,0,0,10688342,32606740,32.78
2022-03-14,Telangana,0,0,0,10728425,32606740,32.9
