StudentID,Gender,Section,Attendance_%,StudyHrs_day,Subject,Score,Pass
S0013,Female,A,90.9,2.1,Maths,74.4,Pass
S0013,Female,A,90.9,2.1,Science,87.4,Pass
S0013,Female,A,90.9,2.1,English,85.6,Pass
S0013,Female,A,90.9,2.1,History,64.2,Pass
S0013,Female,A,90.9,2.1,CS,73.5,Pass
S0014,Female,C,71.7,4.6,Maths,50.4,Pass
S0014,Female,C,71.7,4.6,Science,79.9,Pass
S0014,Female,C,71.7,4.6,English,56.9,Pass
S0014,Female,C,71.7,4.6,History,87.0,Pass
S0014,Female,C,71.7,4.6,CS,87.5,Pass
S0015,Male,B,68.4,2.4,Maths,65.5,Pass
S0015,Male,B,68.4,2.4,Science,75.4,Pass
S0015,Male,B,68.4,2.4,English,68.0,Pass
S0015,Male,B,68.4,2.4,History,72.6,Pass
S0015,Male,B,68.4,2.4,CS,58.7,Pass
S0016,Male,B,54.5,2.3,Maths,72.3,Pass
S0016,Male,B,54.5,2.3,Science,49.6,Pass
S0016,Male,B,54.5,2.3,English,47.8,Pass
S0016,Male,B,54.5,2.3,History,64.8,Pass
S0016,Male,B,54.5,2.3,CS,63.9,Pass
S0017,Female,C,75.5,5.3,Maths,80.9,Pass
S0017,Female,C,75.5,5.3,Science,71.7,Pass
S0017,Female,C,75.5,5.3,English,97.0,Pass
S0017,Female,C,75.5,5.3,History,79.8,Pass
S0017,Female,C,75.5,5.3,CS,80.5,Pass
S0018,Male,A,56.5,4.8,Maths,73.5,Pass
S0018,Male,A,56.5,4.8,Science,81.6,Pass
S0018,Male,A,56.5,4.8,English,77.3,Pass
S0018,Male,A,56.5,4.8,History,76.0,Pass
S0018,Male,A,56.5,4.8,CS,78.9,Pass
S0019,Female,C,82.1,2.1,Maths,55.6,Pass
S0019,Female,C,82.1,2.1,Science,56.0,Pass
S0019,Female,C,82.1,2.1,English,73.1,Pass
S0019,Female,C,82.1,2.1,History,71.9,Pass
S0019,Female,C,82.1,2.1,CS,79.7,Pass
S0020,Female,C,78.6,3.1,Maths,74.9,Pass
S0020,Female,C,78.6,3.1,Science,80.5,Pass
S0020,Female,C,78.6,3.1,English,62.3,Pass
S0020,Female,C,78.6,3.1,History,74.6,Pass
S0020,Female,C,78.6,3.1,CS,61.3,Pass
S0021,Female,B,74.6,2.6,Maths,76.5,Pass
S0021,Female,B,74.6,2.6,Science,53.9,Pass
S0021,Female,B,74.6,2.6,English,76.2,Pass
S0021,Female,B,74.6,2.6,History,58.0,Pass
S0021,Female,B,74.6,2.6,CS,68.8,Pass
S0022,Male,A,74.3,6.7,Maths,89.6,Pass
S0022,Male,A,74.3,6.7,Science,82.9,Pass
S0022,Male,A,74.3,6.7,English,64.2,Pass
S0022,Male,A,74.3,6.7,History,73.9,Pass
S0022,Male,A,74.3,6.7,CS,65.6,Pass
S0023,Female,B,80.4,5.4,Maths,62.9,Pass
S0023,Female,B,80.4,5.4,Science,81.0,Pass
S0023,Female,B,80.4,5.4,English,85.4,Pass
S0023,Female,B,80.4,5.4,History,84.3,Pass
S0023,Female,B,80.4,5.4,CS,85.9,Pass
S0024,Female,A,73.7,3.4,Maths,73.7,Pass
S0024,Female,A,73.7,3.4,Science,71.1,Pass
S0024,Female,A,73.7,3.4,English,63.1,Pass
S0024,Female,A,73.7,3.4,History,69.4,Pass
S0024,Female,A,73.7,3.4,CS,60.6,Pass
S0025,Female,B,93.5,4.9,Maths,74.3,Pass
S0025,Female,B,93.5,4.9,Science,83.7,Pass
S0025,Female,B,93.5,4.9,English,81.6,Pass
S0025,Female,B,93.5,4.9,History,100.0,Pass
S0025,Female,B,93.5,4.9,CS,69.3,Pass
S0026,Male,C,71.4,2.0,Maths,69.1,Pass
S0026,Male,C,71.4,2.0,Science,56.1,Pass
S0026,Male,C,71.4,2.0,English,66.5,Pass
S0026,Male,C,71.4,2.0,History,66.9,Pass
S0026,Male,C,71.4,2.0,CS,78.8,Pass
S0027,Male,A,76.7,3.0,Maths,69.5,Pass
S0027,Male,A,76.7,3.0,Science,72.1,Pass
S0027,Male,A,76.7,3.0,English,69.7,Pass
S0027,Male,A,76.7,3.0,History,60.0,Pass
S0027,Male,A,76.7,3.0,CS,67.5,Pass
S0028,Male,C,68.6,4.2,Maths,70.1,Pass
S0028,Male,C,68.6,4.2,Science,74.6,Pass
S0028,Male,C,68.6,4.2,English,79.5,Pass
S0028,Male,C,68.6,4.2,History,71.6,Pass
S0028,Male,C,68.6,4.2,CS,71.4,Pass
S0029,Male,A,85.9,4.7,Maths,62.9,Pass
S0029,Male,A,85.9,4.7,Science,85.5,Pass
S0029,Male,A,85.9,4.7,English,73.2,Pass
S0029,Male,A,85.9,4.7,History,87.6,Pass
S0029,Male,A,85.9,4.7,CS,93.3,Pass
S0030,Female,D,86.3,3.9,Maths,76.7,Pass
S0030,Female,D,86.3,3.9,Science,68.4,Pass
S0030,Female,D,86.3,3.9,English,78.4,Pass
S0030,Female,D,86.3,3.9,History,82.1,Pass
S0030,Female,D,86.3,3.9,CS,75.4,Pass
S0031,Female,C,99.1,4.4,Maths,77.8,Pass
S0031,Female,C,99.1,4.4,Science,89.1,Pass
S0031,Female,C,99.1,4.4,English,88.4,Pass
S0031,Female,C,99.1,4.4,History,80.0,Pass
S0031,Female,C,99.1,4.4,CS,66.9,Pass
S0032,Female,B,56.1,4.1,Maths,74.6,Pass
S0032,Female,B,56.1,4.1,Science,62.4,Pass
S0032,Female,B,56.1,4.1,English,72.2,Pass
S0032,Female,B,56.1,4.1,History,71.6,Pass
S0032,Female,B,56.1,4.1,CS,51.2,Pass
S0033,Male,C,69.4,3.8,Maths,74.1,Pass
S0033,Male,C,69.4,3.8,Science,78.5,Pass
S0033,Male,C,69.4,3.8,English,79.7,Pass
S0033,Male,C,69.4,3.8,History,74.5,Pass
S0033,Male,C,69.4,3.8,CS,53.6,Pass
S0034,Male,A,39.5,3.6,Maths,76.7,Pass
S0034,Male,A,39.5,3.6,Science,68.1,Pass
S0034,Male,A,39.5,3.6,English,51.9,Pass
S0034,Male,A,39.5,3.6,History,56.1,Pass
S0034,Male,A,39.5,3.6,CS,66.3,Pass
S0035,Male,A,68.9,3.4,Maths,79.2,Pass
S0035,Male,A,68.9,3.4,Science,67.5,Pass
S0035,Male,A,68.9,3.4,English,80.7,Pass
S0035,Male,A,68.9,3.4,History,54.5,Pass
S0035,Male,A,68.9,3.4,CS,62.0,Pass
S0036,Male,D,47.3,4.3,Maths,47.2,Pass
S0036,Male,D,47.3,4.3,Science,58.9,Pass
S0036,Male,D,47.3,4.3,English,83.0,Pass
S0036,Male,D,47.3,4.3,History,88.5,Pass
S0036,Male,D,47.3,4.3,CS,70.2,Pass
S0037,Male,D,58.3,4.6,Maths,65.3,Pass
S0037,Male,D,58.3,4.6,Science,69.5,Pass
S0037,Male,D,58.3,4.6,English,76.4,Pass
S0037,Male,D,58.3,4.6,History,56.1,Pass
S0037,Male,D,58.3,4.6,CS,66.0,Pass
S0038,Male,A,84.0,4.3,Maths,93.1,Pass
S0038,Male,A,84.0,4.3,Science,68.3,Pass
S0038,Male,A,84.0,4.3,English,71.3,Pass
S0038,Male,A,84.0,4.3,History,78.9,Pass
S0038,Male,A,84.0,4.3,CS,81.6,Pass
S0039,Male,B,68.4,2.2,Maths,63.7,Pass
S0039,Male,B,68.4,2.2,Science,70.8,Pass
S0039,Male,B,68.4,2.2,English,76.1,Pass
S0039,Male,B,68.4,2.2,History,89.6,Pass
S0039,Male,B,68.4,2.2,CS,68.7,Pass
S0040,Female,A,69.0,2.5,Maths,70.3,Pass
S0040,Female,A,69.0,2.5,Science,86.0,Pass
S0040,Female,A,69.0,2.5,English,65.2,Pass
S0040,Female,A,69.0,2.5,History,57.5,Pass
S0040,Female,A,69.0,2.5,CS,73.2,Pass
S0041,Male,B,43.5,4.6,Maths,78.0,Pass
S0041,Male,B,43.5,4.6,Science,70.8,Pass
S0041,Male,B,43.5,4.6,English,66.3,Pass
S0041,Male,B,43.5,4.6,History,52.8,Pass
S0041,Male,B,43.5,4.6,CS,66.7,Pass
S0042,Female,B,92.9,6.2,Maths,97.6,Pass
S0042,Female,B,92.9,6.2,Science,72.9,Pass
S0042,Female,B,92.9,6.2,English,82.8,Pass
S0042,Female,B,92.9,6.2,History,81.4,Pass
S0042,Female,B,92.9,6.2,CS,78.3,Pass
S0043,Female,B,73.4,4.2,Maths,78.0,Pass
S0043,Female,B,73.4,4.2,Science,79.9,Pass
S0043,Female,B,73.4,4.2,English,79.8,Pass
S0043,Female,B,73.4,4.2,History,65.7,Pass
S0043,Female,B,73.4,4.2,CS,59.0,Pass
S0044,Male,C,70.6,3.4,Maths,75.6,Pass
S0044,Male,C,70.6,3.4,Science,67.9,Pass
S0044,Male,C,70.6,3.4,English,91.3,Pass
S0044,Male,C,70.6,3.4,History,91.8,Pass
S0044,Male,C,70.6,3.4,CS,92.9,Pass
S0045,Female,A,83.5,4.3,Maths,69.3,Pass
S0045,Female,A,83.5,4.3,Science,84.4,Pass
S0045,Female,A,83.5,4.3,English,87.4,Pass
S0045,Female,A,83.5,4.3,History,86.3,Pass
S0045,Female,A,83.5,4.3,CS,75.2,Pass
S0046,Female,D,55.9,2.3,Maths,79.1,Pass
S0046,Female,D,55.9,2.3,Science,66.4,Pass
S0046,Female,D,55.9,2.3,English,67.6,Pass
S0046,Female,D,55.9,2.3,History,51.0,Pass
S0046,Female,D,55.9,2.3,CS,72.8,Pass
S0047,Male,C,48.1,6.0,Maths,68.8,Pass
S0047,Male,C,48.1,6.0,Science,76.0,Pass
S0047,Male,C,48.1,6.0,English,73.7,Pass
S0047,Male,C,48.1,6.0,History,73.2,Pass
S0047,Male,C,48.1,6.0,CS,70.9,Pass
S0048,Male,D,89.9,4.3,Maths,88.4,Pass
S0048,Male,D,89.9,4.3,Science,78.6,Pass
S0048,Male,D,89.9,4.3,English,66.0,Pass
S0048,Male,D,89.9,4.3,History,86.2,Pass
S0048,Male,D,89.9,4.3,CS,72.4,Pass
S0049,Female,A,80.0,3.0,Maths,61.7,Pass
S0049,Female,A,80.0,3.0,Science,64.8,Pass
S0049,Female,A,80.0,3.0,English,77.8,Pass
S0049,Female,A,80.0,3.0,History,74.0,Pass
S0049,Female,A,80.0,3.0,CS,53.7,Pass
S0050,Male,C,81.7,3.7,Maths,73.2,Pass
S0050,Male,C,81.7,3.7,Science,88.7,Pass
S0050,Male,C,81.7,3.7,English,72.5,Pass
S0050,Male,C,81.7,3.7,History,75.3,Pass
S0050,Male,C,81.7,3.7,CS,87.4,Pass
S0051,Male,D,90.5,3.2,Maths,86.5,Pass
S0051,Male,D,90.5,3.2,Science,88.8,Pass
S0051,Male,D,90.5,3.2,English,50.8,Pass
S0051,Male,D,90.5,3.2,History,95.9,Pass
S0051,Male,D,90.5,3.2,CS,84.9,Pass
S0052,Male,A,98.7,6.0,Maths,100.0,Pass
S0052,Male,A,98.7,6.0,Science,78.7,Pass
S0052,Male,A,98.7,6.0,English,68.9,Pass
S0052,Male,A,98.7,6.0,History,86.6,Pass
S0052,Male,A,98.7,6.0,CS,83.8,Pass
S0053,Female,D,94.0,3.7,Maths,87.1,Pass
S0053,Female,D,94.0,3.7,Science,91.3,Pass
S0053,Female,D,94.0,3.7,English,79.7,Pass
S0053,Female,D,94.0,3.7,History,78.2,Pass
S0053,Female,D,94.0,3.7,CS,85.8,Pass
S0054,Female,B,91.9,4.2,Maths,78.5,Pass
S0054,Female,B,91.9,4.2,Science,77.6,Pass
S0054,Female,B,91.9,4.2,English,91.4,Pass
S0054,Female,B,91.9,4.2,History,93.6,Pass
S0054,Female,B,91.9,4.2,CS,91.9,Pass
S0055,Female,D,97.3,4.9,Maths,82.2,Pass
S0055,Female,D,97.3,4.9,Science,62.5,Pass
S0055,Female,D,97.3,4.9,English,82.4,Pass
S0055,Female,D,97.3,4.9,History,76.3,Pass
S0055,Female,D,97.3,4.9,CS,82.6,Pass
S0056,Female,B,86.5,2.9,Maths,70.0,Pass
S0056,Female,B,86.5,2.9,Science,76.5,Pass
S0056,Female,B,86.5,2.9,English,66.3,Pass
S0056,Female,B,86.5,2.9,History,63.9,Pass
S0056,Female,B,86.5,2.9,CS,89.0,Pass
S0057,Male,D,89.3,4.3,Maths,70.7,Pass
S0057,Male,D,89.3,4.3,Science,80.4,Pass
S0057,Male,D,89.3,4.3,English,89.9,Pass
S0057,Male,D,89.3,4.3,History,89.5,Pass
S0057,Male,D,89.3,4.3,CS,88.3,Pass
S0058,Female,A,83.8,4.4,Maths,82.0,Pass
S0058,Female,A,83.8,4.4,Science,86.2,Pass
S0058,Female,A,83.8,4.4,English,92.7,Pass
S0058,Female,A,83.8,4.4,History,83.2,Pass
S0058,Female,A,83.8,4.4,CS,60.6,Pass
S0059,Male,B,89.7,1.7,Maths,70.0,Pass
S0059,Male,B,89.7,1.7,Science,82.2,Pass
S0059,Male,B,89.7,1.7,English,69.0,Pass
S0059,Male,B,89.7,1.7,History,91.5,Pass
S0059,Male,B,89.7,1.7,CS,74.6,Pass
S0060,Male,B,84.5,4.4,Maths,80.0,Pass
S0060,Male,B,84.5,4.4,Science,90.4,Pass
S0060,Male,B,84.5,4.4,English,77.3,Pass
S0060,Male,B,84.5,4.4,History,80.9,Pass
S0060,Male,B,84.5,4.4,CS,88.1,Pass
S0061,Female,A,60.1,3.9,Maths,56.2,Pass
S0061,Female,A,60.1,3.9,Science,68.0,Pass
S0061,Female,A,60.1,3.9,English,79.2,Pass
S0061,Female,A,60.1,3.9,History,71.5,Pass
S0061,Female,A,60.1,3.9,CS,85.6,Pass
S0062,Male,B,66.7,4.2,Maths,57.6,Pass
S0062,Male,B,66.7,4.2,Science,56.5,Pass
S0062,Male,B,66.7,4.2,English,81.1,Pass
S0062,Male,B,66.7,4.2,History,82.1,Pass
S0062,Male,B,66.7,4.2,CS,71.5,Pass
S0063,Female,B,68.6,4.1,Maths,77.7,Pass
S0063,Female,B,68.6,4.1,Science,81.1,Pass
S0063,Female,B,68.6,4.1,English,65.5,Pass
S0063,Female,B,68.6,4.1,History,66.6,Pass
S0063,Female,B,68.6,4.1,CS,75.6,Pass
S0064,Female,A,63.1,4.4,Maths,81.7,Pass
S0064,Female,A,63.1,4.4,Science,61.0,Pass
S0064,Female,A,63.1,4.4,English,70.7,Pass
S0064,Female,A,63.1,4.4,History,70.3,Pass
S0064,Female,A,63.1,4.4,CS,76.9,Pass
S0065,Female,C,85.2,6.0,Maths,82.5,Pass
S0065,Female,C,85.2,6.0,Science,77.1,Pass
S0065,Female,C,85.2,6.0,English,95.1,Pass
S0065,Female,C,85.2,6.0,History,77.2,Pass
S0065,Female,C,85.2,6.0,CS,79.7,Pass
S0066,Female,C,87.3,2.2,Maths,59.7,Pass
S0066,Female,C,87.3,2.2,Science,68.5,Pass
S0066,Female,C,87.3,2.2,English,80.8,Pass
S0066,Female,C,87.3,2.2,History,78.9,Pass
S0066,Female,C,87.3,2.2,CS,81.6,Pass
S0067,Female,D,67.6,3.5,Maths,77.8,Pass
S0067,Female,D,67.6,3.5,Science,93.1,Pass
S0067,Female,D,67.6,3.5,English,64.8,Pass
S0067,Female,D,67.6,3.5,History,56.1,Pass
S0067,Female,D,67.6,3.5,CS,61.8,Pass
S0068,Male,C,72.3,5.0,Maths,69.6,Pass
S0068,Male,C,72.3,5.0,Science,66.9,Pass
S0068,Male,C,72.3,5.0,English,77.6,Pass
S0068,Male,C,72.3,5.0,History,89.2,Pass
S0068,Male,C,72.3,5.0,CS,92.1,Pass
S0069,Male,A,96.2,4.7,Maths,88.4,Pass
S0069,Male,A,96.2,4.7,Science,100.0,Pass
S0069,Male,A,96.2,4.7,English,79.8,Pass
S0069,Male,A,96.2,4.7,History,67.0,Pass
S0069,Male,A,96.2,4.7,CS,93.8,Pass
S0070,Male,A,62.6,4.7,Maths,54.8,Pass
S0070,Male,A,62.6,4.7,Science,65.6,Pass
S0070,Male,A,62.6,4.7,English,78.4,Pass
S0070,Male,A,62.6,4.7,History,72.1,Pass
S0070,Male,A,62.6,4.7,CS,71.2,Pass
S0071,Male,B,82.5,8.1,Maths,74.2,Pass
S0071,Male,B,82.5,8.1,Science,85.9,Pass
S0071,Male,B,82.5,8.1,English,96.0,Pass
S0071,Male,B,82.5,8.1,History,86.2,Pass
S0071,Male,B,82.5,8.1,CS,77.7,Pass
S0072,Male,B,62.6,4.9,Maths,61.1,Pass
S0072,Male,B,62.6,4.9,Science,65.5,Pass
S0072,Male,B,62.6,4.9,English,77.5,Pass
S0072,Male,B,62.6,4.9,History,77.1,Pass
S0072,Male,B,62.6,4.9,CS,65.6,Pass
S0073,Female,A,71.1,5.7,Maths,55.6,Pass
S0073,Female,A,71.1,5.7,Science,81.9,Pass
S0073,Female,A,71.1,5.7,English,68.7,Pass
S0073,Female,A,71.1,5.7,History,84.6,Pass
S0073,Female,A,71.1,5.7,CS,70.2,Pass
S0074,Male,D,71.6,3.5,Maths,63.7,Pass
S0074,Male,D,71.6,3.5,Science,75.1,Pass
S0074,Male,D,71.6,3.5,English,97.1,Pass
S0074,Male,D,71.6,3.5,History,81.0,Pass
S0074,Male,D,71.6,3.5,CS,74.9,Pass
S0075,Male,C,85.8,2.5,Maths,79.3,Pass
S0075,Male,C,85.8,2.5,Science,58.2,Pass
S0075,Male,C,85.8,2.5,English,64.5,Pass
S0075,Male,C,85.8,2.5,History,50.6,Pass
S0075,Male,C,85.8,2.5,CS,93.1,Pass
S0076,Male,C,71.1,3.5,Maths,88.7,Pass
S0076,Male,C,71.1,3.5,Science,77.3,Pass
S0076,Male,C,71.1,3.5,English,74.7,Pass
S0076,Male,C,71.1,3.5,History,57.9,Pass
S0076,Male,C,71.1,3.5,CS,71.2,Pass
S0077,Male,A,69.6,5.1,Maths,94.0,Pass
S0077,Male,A,69.6,5.1,Science,77.3,Pass
S0077,Male,A,69.6,5.1,English,70.4,Pass
S0077,Male,A,69.6,5.1,History,58.4,Pass
S0077,Male,A,69.6,5.1,CS,89.8,Pass
S0078,Female,D,90.2,4.6,Maths,80.6,Pass
S0078,Female,D,90.2,4.6,Science,63.7,Pass
S0078,Female,D,90.2,4.6,English,72.0,Pass
S0078,Female,D,90.2,4.6,History,68.5,Pass
S0078,Female,D,90.2,4.6,CS,80.0,Pass
S0079,Female,A,79.8,4.6,Maths,80.2,Pass
S0079,Female,A,79.8,4.6,Science,73.1,Pass
S0079,Female,A,79.8,4.6,English,85.9,Pass
S0079,Female,A,79.8,4.6,History,78.9,Pass
S0079,Female,A,79.8,4.6,CS,88.8,Pass
S0080,Female,B,72.9,3.7,Maths,70.6,Pass
S0080,Female,B,72.9,3.7,Science,100.0,Pass
S0080,Female,B,72.9,3.7,English,68.6,Pass
S0080,Female,B,72.9,3.7,History,65.2,Pass
S0080,Female,B,72.9,3.7,CS,64.0,Pass
S0081,Female,B,81.3,3.4,Maths,74.2,Pass
S0081,Female,B,81.3,3.4,Science,59.1,Pass
S0081,Female,B,81.3,3.4,English,79.2,Pass
S0081,Female,B,81.3,3.4,History,57.2,Pass
S0081,Female,B,81.3,3.4,CS,77.9,Pass
S0082,Male,D,89.1,3.7,Maths,65.7,Pass
S0082,Male,D,89.1,3.7,Science,75.4,Pass
S0082,Male,D,89.1,3.7,English,85.2,Pass
S0082,Male,D,89.1,3.7,History,100.0,Pass
S0082,Male,D,89.1,3.7,CS,68.4,Pass
S0083,Female,B,73.1,5.1,Maths,75.6,Pass
S0083,Female,B,73.1,5.1,Science,69.9,Pass
S0083,Female,B,73.1,5.1,English,68.4,Pass
S0083,Female,B,73.1,5.1,History,70.0,Pass
S0083,Female,B,73.1,5.1,CS,85.3,Pass
S0084,Male,A,83.5,5.3,Maths,75.7,Pass
S0084,Male,A,83.5,5.3,Science,100.0,Pass
S0084,Male,A,83.5,5.3,English,84.7,Pass
S0084,Male,A,83.5,5.3,History,70.5,Pass
S0084,Male,A,83.5,5.3,CS,76.9,Pass
S0085,Male,B,93.4,2.5,Maths,70.0,Pass
S0085,Male,B,93.4,2.5,Science,86.0,Pass
S0085,Male,B,93.4,2.5,English,61.6,Pass
S0085,Male,B,93.4,2.5,History,64.6,Pass
S0085,Male,B,93.4,2.5,CS,72.1,Pass
S0086,Male,B,78.9,5.1,Maths,85.8,Pass
S0086,Male,B,78.9,5.1,Science,91.3,Pass
S0086,Male,B,78.9,5.1,English,92.8,Pass
S0086,Male,B,78.9,5.1,History,84.3,Pass
S0086,Male,B,78.9,5.1,CS,78.1,Pass
S0087,Female,A,88.9,3.0,Maths,85.7,Pass
S0087,Female,A,88.9,3.0,Science,66.3,Pass
S0087,Female,A,88.9,3.0,English,59.3,Pass
S0087,Female,A,88.9,3.0,History,82.1,Pass
S0087,Female,A,88.9,3.0,CS,67.7,Pass
S0088,Male,A,84.8,4.7,Maths,79.2,Pass
S0088,Male,A,84.8,4.7,Science,81.0,Pass
S0088,Male,A,84.8,4.7,English,82.3,Pass
S0088,Male,A,84.8,4.7,History,89.2,Pass
S0088,Male,A,84.8,4.7,CS,88.2,Pass
S0089,Male,A,97.5,3.7,Maths,83.6,Pass
S0089,Male,A,97.5,3.7,Science,77.3,Pass
S0089,Male,A,97.5,3.7,English,82.8,Pass
S0089,Male,A,97.5,3.7,History,75.7,Pass
S0089,Male,A,97.5,3.7,CS,79.7,Pass
S0090,Male,B,65.6,6.3,Maths,100.0,Pass
S0090,Male,B,65.6,6.3,Science,79.2,Pass
S0090,Male,B,65.6,6.3,English,81.9,Pass
S0090,Male,B,65.6,6.3,History,70.3,Pass
S0090,Male,B,65.6,6.3,CS,87.6,Pass
S0091,Male,B,86.7,3.4,Maths,85.4,Pass
S0091,Male,B,86.7,3.4,Science,85.4,Pass
S0091,Male,B,86.7,3.4,English,79.9,Pass
S0091,Male,B,86.7,3.4,History,88.1,Pass
S0091,Male,B,86.7,3.4,CS,90.5,Pass
S0092,Female,B,94.3,4.3,Maths,84.7,Pass
S0092,Female,B,94.3,4.3,Science,80.7,Pass
S0092,Female,B,94.3,4.3,English,90.8,Pass
S0092,Female,B,94.3,4.3,History,72.8,Pass
S0092,Female,B,94.3,4.3,CS,74.7,Pass
S0093,Male,C,77.0,4.9,Maths,77.4,Pass
S0093,Male,C,77.0,4.9,Science,60.5,Pass
S0093,Male,C,77.0,4.9,English,86.2,Pass
S0093,Male,C,77.0,4.9,History,68.3,Pass
S0093,Male,C,77.0,4.9,CS,73.2,Pass
S0094,Male,A,81.5,2.7,Maths,72.7,Pass
S0094,Male,A,81.5,2.7,Science,75.2,Pass
S0094,Male,A,81.5,2.7,English,71.4,Pass
S0094,Male,A,81.5,2.7,History,74.2,Pass
S0094,Male,A,81.5,2.7,CS,74.2,Pass
S0095,Male,D,91.6,3.9,Maths,75.8,Pass
S0095,Male,D,91.6,3.9,Science,72.5,Pass
S0095,Male,D,91.6,3.9,English,91.1,Pass
S0095,Male,D,91.6,3.9,History,59.2,Pass
S0095,Male,D,91.6,3.9,CS,78.2,Pass
S0096,Female,D,77.0,3.6,Maths,70.6,Pass
S0096,Female,D,77.0,3.6,Science,79.5,Pass
S0096,Female,D,77.0,3.6,English,60.7,Pass
S0096,Female,D,77.0,3.6,History,70.3,Pass
S0096,Female,D,77.0,3.6,CS,74.3,Pass
S0097,Male,A,69.6,3.2,Maths,83.0,Pass
S0097,Male,A,69.6,3.2,Science,75.7,Pass
S0097,Male,A,69.6,3.2,English,60.5,Pass
S0097,Male,A,69.6,3.2,History,67.5,Pass
S0097,Male,A,69.6,3.2,CS,81.2,Pass
S0098,Male,B,80.8,3.3,Maths,63.9,Pass
S0098,Male,B,80.8,3.3,Science,75.1,Pass
S0098,Male,B,80.8,3.3,English,75.8,Pass
S0098,Male,B,80.8,3.3,History,72.1,Pass
S0098,Male,B,80.8,3.3,CS,100.0,Pass
S0099,Male,A,83.4,5.7,Maths,77.2,Pass
S0099,Male,A,83.4,5.7,Science,85.9,Pass
S0099,Male,A,83.4,5.7,English,73.7,Pass
S0099,Male,A,83.4,5.7,History,86.6,Pass
S0099,Male,A,83.4,5.7,CS,90.1,Pass
S0100,Female,B,69.7,3.1,Maths,66.2,Pass
S0100,Female,B,69.7,3.1,Science,71.6,Pass
S0100,Female,B,69.7,3.1,English,63.2,Pass
S0100,Female,B,69.7,3.1,History,60.7,Pass
S0100,Female,B,69.7,3.1,CS,82.5,Pass
